--- Report words in books/frankenstein.txt ---

7263 unique words found in file.

'ass' was found 2 times.
'assailed' was found 1 times.
'assassin' was found 2 times.
'assassinated' was found 1 times.
'assemblage' was found 2 times.
'assemblages' was found 1 times.
'assemblance' was found 1 times.
'assembled' was found 1 times.
'asserted' was found 1 times.
'assertion' was found 2 times.
'asseverations' was found 1 times.
'assigned' was found 1 times.
'assist' was found 6 times.
'assistance' was found 4 times.
'assistants' was found 1 times.
'assisted' was found 3 times.
'assisting' was found 1 times.
'assizes' was found 1 times.
'associate' was found 2 times.
'associated' was found 11 times.
'associates' was found 1 times.
'association' was found 1 times.
'assuage' was found 1 times.
'assume' was found 1 times.
'assumed' was found 5 times.
'assurance' was found 1 times.
'assurances' was found 1 times.
'assure' was found 5 times.
'assured' was found 11 times.
'assuredly' was found 4 times.
'assures' was found 1 times.
'astonished' was found 3 times.
'astonishing' was found 8 times.
'astonishment' was found 6 times.
'astounded' was found 1 times.
'astounding' was found 1 times.
'asylum' was found 4 times.
'at' was found 332 times.
'ate' was found 4 times.
'atlantic' was found 1 times.
'atmosphere' was found 3 times.
'atone' was found 1 times.
'atrocious' was found 1 times.
'attach' was found 1 times.
'attached' was found 7 times.
'attachment' was found 5 times.
'attack' was found 1 times.
'attacked' was found 2 times.
'attacks' was found 1 times.
'attain' was found 1 times.
'attained' was found 1 times.
'attainment' was found 1 times.
'attempt' was found 10 times.
'attempted' was found 9 times.
'attempts' was found 3 times.
'attend' was found 6 times.
'attendance' was found 1 times.
'attendant' was found 3 times.
'attendants' was found 2 times.
'attended' was found 9 times.
'attending' was found 4 times.
'attends' was found 1 times.
'attention' was found 22 times.
'attentions' was found 4 times.
'attentive' was found 2 times.
'attentively' was found 3 times.
'attest' was found 1 times.
'attitude' was found 2 times.
'attract' was found 1 times.
'attracted' was found 6 times.
'attractions' was found 1 times.
'attractive' was found 2 times.
'attracts' was found 1 times.
'attributed' was found 4 times.
'audible' was found 2 times.
'audibly' was found 1 times.
'auditor' was found 1 times.
'aught' was found 2 times.
'augmented' was found 4 times.
'augmenting' was found 1 times.
'auguries' was found 1 times.
'augury' was found 1 times.
'august' was found 6 times.
'aunt' was found 9 times.
'austria' was found 1 times.
'austrian' was found 1 times.
'author' was found 6 times.
'authority' was found 1 times.
'authors' was found 5 times.
'autumn' was found 5 times.
'avail' was found 3 times.
'available' was found 2 times.
'availed' was found 1 times.
'avalanche' was found 5 times.
'avenge' was found 1 times.
'avenue' was found 1 times.
'averred' was found 1 times.
'averse' was found 2 times.
'aversion' was found 1 times.
'avert' was found 2 times.
'avidity' was found 1 times.
'avoid' was found 6 times.
'avoided' was found 3 times.
'avow' was found 1 times.
'avowal' was found 1 times.
'avowed' was found 1 times.
'await' was found 2 times.
'awaiting' was found 1 times.
'awake' was found 4 times.
'awaken' was found 2 times.
'awakened' was found 3 times.
'awaking' was found 1 times.
'award' was found 1 times.
'aware' was found 1 times.
'away' was found 53 times.
'awe' was found 2 times.
'awful' was found 3 times.
'awoke' was found 15 times.
'ay' was found 4 times.
'b' was found 3 times.
'babe' was found 1 times.
'babes' was found 1 times.
'back' was found 15 times.
'backs' was found 1 times.
'bad' was found 1 times.
'bade' was found 4 times.
'baffled' was found 2 times.
'balanced' was found 2 times.
'balancing' was found 1 times.
'ball' was found 1 times.
'ballots' was found 1 times.
'balminess' was found 1 times.
'balmy' was found 1 times.
'ban' was found 1 times.
'banish' was found 3 times.
'banished' was found 5 times.
'banker' was found 1 times.
'banks' was found 8 times.
'barbarity' was found 2 times.
'barbarous' was found 3 times.
'barbarously' was found 1 times.
'bare' was found 7 times.
'bared' was found 1 times.
'barks' was found 1 times.
'barn' was found 2 times.
'barred' was found 4 times.
'barren' was found 3 times.
'barricade' was found 1 times.
'barrier' was found 4 times.
'barriers' was found 1 times.
'base' was found 6 times.
'based' was found 2 times.
'basest' was found 1 times.
'basket' was found 3 times.
'bat' was found 1 times.
'bathed' was found 1 times.
'baths' was found 1 times.
'bauble' was found 1 times.
'be' was found 379 times.
'beach' was found 5 times.
'beam' was found 1 times.
'beaming' was found 2 times.
'bear' was found 6 times.
'bearing' was found 3 times.
'bears' was found 2 times.
'beast' was found 3 times.
'beasts' was found 1 times.
'beat' was found 5 times.
'beaten' was found 2 times.
'beaufort' was found 7 times.
'beauties' was found 3 times.
'beautiful' was found 28 times.
'beauty' was found 27 times.
'became' was found 61 times.
'because' was found 18 times.
'become' was found 33 times.
'becomes' was found 2 times.
'becoming' was found 4 times.
'bed' was found 15 times.
'bedewed' was found 1 times.
'bedim' was found 1 times.
'bedroom' was found 1 times.
'beds' was found 1 times.
'bedside' was found 1 times.
'been' was found 190 times.
'befall' was found 1 times.
'befallen' was found 3 times.
'befitting' was found 4 times.
'before' was found 148 times.
'beg' was found 2 times.
'began' was found 28 times.
'beggar' was found 2 times.
'beggars' was found 1 times.
'begged' was found 1 times.
'begin' was found 6 times.
'beginning' was found 9 times.
'begins' was found 1 times.
'begone' was found 7 times.
'begun' was found 2 times.
'behalf' was found 1 times.
'behaviour' was found 2 times.
'beheld' was found 31 times.
'behind' was found 11 times.
'behold' was found 13 times.
'beholding' was found 3 times.
'being' was found 97 times.
'beings' was found 22 times.
'belief' was found 3 times.
'believe' was found 34 times.
'believed' was found 13 times.
'believes' was found 4 times.
'believing' was found 2 times.
'belong' was found 1 times.
'belonged' was found 4 times.
'belonging' was found 4 times.
'belongs' was found 1 times.
'beloved' was found 26 times.
'below' was found 6 times.
'belrive' was found 4 times.
'bend' was found 3 times.
'bending' was found 1 times.
'beneath' was found 11 times.
'benefactor' was found 3 times.
'benefactors' was found 2 times.
'beneficence' was found 1 times.
'beneficial' was found 2 times.
'benefit' was found 7 times.
'benefits' was found 1 times.
'benevolence' was found 7 times.
'benevolent' was found 14 times.
'benevolently' was found 1 times.
'benignity' was found 2 times.
'bent' was found 9 times.
'benumbed' was found 1 times.
'bernard' was found 1 times.
'berries' was found 6 times.
'beside' was found 7 times.
'besides' was found 13 times.
'besieged' was found 1 times.
'besought' was found 1 times.
'bespoke' was found 1 times.
'best' was found 12 times.
'bestow' was found 14 times.
'bestowed' was found 13 times.
'bestowing' was found 3 times.
'betook' was found 1 times.
'betray' was found 2 times.
'betrayed' was found 2 times.
'better' was found 13 times.
'between' was found 20 times.
'beware' was found 2 times.
'bewildered' was found 4 times.
'beyond' was found 8 times.
'bid' was found 2 times.
'bidding' was found 1 times.
'bids' was found 1 times.
'bier' was found 1 times.
'bill' was found 1 times.
'binary' was found 1 times.
'bind' was found 1 times.
'binding' was found 1 times.
'bird' was found 1 times.
'birds' was found 5 times.
'biron' was found 1 times.
'birth' was found 8 times.
'bitter' was found 16 times.
'bitterest' was found 3 times.
'bitterly' was found 10 times.
'bitterness' was found 8 times.
'black' was found 17 times.
'blackbird' was found 1 times.
'blackest' was found 1 times.
'blackness' was found 1 times.
'blamable' was found 1 times.
'blame' was found 1 times.
'blameless' was found 1 times.
'blanc' was found 8 times.
'blankets' was found 1 times.
'blast' was found 5 times.
'blasted' was found 8 times.
'bleak' was found 4 times.
'bleakness' was found 1 times.
'bless' was found 6 times.
'blessed' was found 6 times.
'blessing' was found 4 times.
'blessings' was found 2 times.
'blew' was found 1 times.
'blight' was found 2 times.
'blind' was found 10 times.
'blinded' was found 2 times.
'blindness' was found 1 times.
'bliss' was found 3 times.
'blood' was found 19 times.
'bloodless' was found 1 times.
'bloodshed' was found 1 times.
'bloody' was found 1 times.
'bloom' was found 3 times.
'bloomed' was found 2 times.
'blooming' was found 4 times.
'blossom' was found 1 times.
'blot' was found 2 times.
'blotted' was found 1 times.
'blow' was found 4 times.
'blows' was found 3 times.
'blue' was found 11 times.
'blunt' was found 2 times.
'board' was found 6 times.
'boarder' was found 1 times.
'boast' was found 3 times.
'boat' was found 17 times.
'boats' was found 2 times.
'bodies' was found 3 times.
'bodily' was found 4 times.
'body' was found 23 times.
'boils' was found 1 times.
'bold' was found 2 times.
'bolt' was found 2 times.
'bolts' was found 1 times.
'bondage' was found 1 times.
'bonds' was found 3 times.
'bone' was found 1 times.
'bones' was found 1 times.
'book' was found 6 times.
'books' was found 12 times.
'bore' was found 7 times.
'born' was found 4 times.
'borne' was found 6 times.
'bosom' was found 9 times.
'bosoms' was found 1 times.
'boss' was found 2 times.
'both' was found 10 times.
'bottom' was found 4 times.
'bought' was found 3 times.
'bound' was found 17 times.
'boundaries' was found 2 times.
'boundary' was found 5 times.
'bounded' was found 3 times.
'bounding' was found 2 times.
'boundless' was found 3 times.
'bounds' was found 6 times.
'bounty' was found 1 times.
'bourne' was found 1 times.
'bowing' was found 1 times.
'boy' was found 7 times.
'boyhood' was found 2 times.
'braces' was found 1 times.
'braided' was found 1 times.
'brain' was found 1 times.
'brake' was found 1 times.
'brambles' was found 1 times.
'branch' was found 4 times.
'branches' was found 12 times.
'brand' was found 1 times.
'brandy' was found 1 times.
'brave' was found 3 times.
'brawling' was found 1 times.
'breach' was found 2 times.
'bread' was found 4 times.
'break' was found 4 times.
'breakers' was found 1 times.
'breakfast' was found 5 times.
'breaking' was found 3 times.
'breast' was found 3 times.
'breath' was found 2 times.
'breathe' was found 3 times.
'breathed' was found 4 times.
'breathless' was found 3 times.
'bred' was found 1 times.
'breeze' was found 10 times.
'breezes' was found 2 times.
'brethren' was found 1 times.
'bridal' was found 1 times.
'bride' was found 1 times.
'brides' was found 1 times.
'bridge' was found 1 times.
'briefly' was found 2 times.
'bright' was found 7 times.
'brightest' was found 1 times.
'brightly' was found 1 times.
'brightness' was found 2 times.
'brilliant' was found 1 times.
'bring' was found 3 times.
'bringing' was found 1 times.
'brink' was found 3 times.
'britain' was found 2 times.
'broad' was found 2 times.
'broke' was found 5 times.
'broken' was found 12 times.
'brooded' was found 2 times.
'brooding' was found 1 times.
'brook' was found 2 times.
'brother' was found 24 times.
'brotherly' was found 1 times.
'brothers' was found 5 times.
'brought' was found 28 times.
'brow' was found 1 times.
'brows' was found 1 times.
'bruised' was found 1 times.
'brutality' was found 2 times.
'brute' was found 1 times.
'bud' was found 2 times.
'budding' was found 1 times.
'buds' was found 1 times.
'buffeted' was found 1 times.
'building' was found 1 times.
'buildings' was found 1 times.
'built' was found 2 times.
'burden' was found 4 times.
'burdened' was found 1 times.
'buried' was found 1 times.
'burn' was found 1 times.
'burned' was found 3 times.
'burning' was found 10 times.
'burns' was found 1 times.
'burnt' was found 3 times.
'burst' was found 8 times.
'bursting' was found 1 times.
'bury' was found 1 times.
